feature,median_importance,q1,q3,iqr
Survey Week,0.12297368993203417,0.12181838309646441,0.12384096733207586,0.002022584235611455
Non-mask Protective Behaviour Score,0.10502627366355319,0.10345628293780774,0.10681881509154809,0.0033625321537403413
Age,0.06933226373314955,0.06911252372867689,0.06969067574018056,0.0005781520115036715
Non-household Contacts,0.05893856391712868,0.05862959080002505,0.05926368870522909,0.0006340979052040438
Perceived Personal Risk,0.04728073929165332,0.04705791597884887,0.04764568741054852,0.0005877714316996491
Perceived Infection Likelihood,0.046820018971570496,0.04643083560830413,0.046999943009848666,0.000569107401544533
Life Satisfaction,0.04548485138046293,0.04529060560619321,0.04566502486547312,0.0003744192592799109
Household Size,0.036643892130249815,0.03641365872526038,0.03679977123741386,0.0003861125121534803
Very Willing to Self-isolate,0.016907030423015473,0.01664984147468354,0.017189713735797658,0.0005398722611141167
Male,0.01599610365358741,0.015852606164665384,0.01609991952487258,0.0002473133602071964
i9_health_Yes,0.013844606364504903,0.013707756081987342,0.014044318672005566,0.00033656259001822383
WCRex1_Somewhat well,0.012920300836870685,0.012795308459572588,0.012996013622122871,0.00020070516255028294
employment_status_Part time employment,0.012250905472051016,0.012159144425724041,0.01232306979996224,0.00016392537423819825
d1_comorbidities_Yes,0.012077034974056093,0.011942540895646461,0.01217751553101178,0.0002349746353653183
WCRex2_A lot of confidence,0.011614371356538276,0.011530315111773083,0.011700381663395525,0.00017006655162244214
WCRex2_Not very much confidence,0.01092283669179862,0.010808037107491612,0.01102567053797897,0.00021763343048735763
WCRex1_Somewhat badly,0.010404007218031303,0.010316720458230053,0.010508724195731798,0.00019200373750174506
employment_status_Retired,0.010096978267594262,0.00997283734267577,0.010186222187456332,0.00021338484478056197
PHQ4_1_Several days,0.009741273163871932,0.00964583612744276,0.009845537088018778,0.00019970096057601687
WCRex1_Very well,0.00956483920851045,0.009479444657946031,0.009640200132643526,0.00016075547469749513
PHQ4_3_Several days,0.009471765531401308,0.00937777908973568,0.009586409438126301,0.0002086303483906215
WCRex1_Very badly,0.009304815079957032,0.009230855335899676,0.009395293780397058,0.00016443844449738274
PHQ4_1_Not at all,0.009269706460860958,0.009179807219834803,0.009330032069591706,0.00015022484975690288
PHQ4_2_Several days,0.009169487888438218,0.00905326490434711,0.009248016827657262,0.00019475192331015224
PHQ4_4_Several days,0.008964646550358099,0.008912693933382985,0.009058723117768602,0.0001460291843856168
i11_health_Somewhat willing,0.008906836025947976,0.008780248508508857,0.009010418888313257,0.00023017037980439976
PHQ4_2_Not at all,0.008752102698284924,0.008663158636884428,0.008834124993322763,0.00017096635643833527
PHQ4_4_Not at all,0.008740269704786831,0.008680887014662395,0.008832575055730438,0.00015168804106804358
employment_status_Not working,0.008654950318442524,0.008555689028256194,0.008757114523320194,0.00020142549506400008
PHQ4_3_Not at all,0.008460482125861188,0.008406870138947805,0.008551523084593993,0.0001446529456461884
employment_status_Unemployed,0.007681227741230916,0.007618668979673575,0.007769836181271038,0.00015116720159746248
i9_health_Not sure,0.0075134115059225185,0.007371488064389818,0.007681892544619647,0.00031040448022982923
WCRex2_No confidence at all,0.006635874093605665,0.006565393861278989,0.006744147960753848,0.00017875409947485862
PHQ4_1_Nearly every day,0.00578428178081074,0.005698193723989359,0.005859825845132142,0.0001616321211427834
PHQ4_3_Nearly every day,0.005545763065506339,0.005487874151580725,0.0055952512896005275,0.0001073771380198027
PHQ4_4_Nearly every day,0.005342779108309058,0.005294836066821806,0.005396962169463377,0.00010212610264157158
PHQ4_2_Nearly every day,0.004951366888828153,0.004888748220098366,0.004999543462893043,0.00011079524279467706
i11_health_Very unwilling,0.003665299143220651,0.0035048882047468205,0.0037934088116652895,0.00028852060691846905
WCRex2_Don't know,0.0035535405789446804,0.0035024840519153754,0.003639302338611229,0.0001368182866958536
PHQ4_4_NA,0.003247809681119576,0.0031986508207004867,0.0033069656308722757,0.00010831481017178901
PHQ4_3_NA,0.00324699790447955,0.003171041984149586,0.00329690221141348,0.0001258602272638941
PHQ4_2_NA,0.0031995772914507367,0.003141054239017689,0.0032669713223691145,0.00012591708335142528
PHQ4_1_NA,0.0031540098126383053,0.00308605144552943,0.003207037132374123,0.0001209856868446932
i11_health_Somewhat unwilling,0.0026336536969621214,0.002580703727375192,0.0026955853542074957,0.00011488162683230378
d1_comorbidities_Prefer not to say,0.0022335472693064016,0.002179392886773745,0.002284346711650357,0.00010495382487661197
i11_health_Not sure,0.0017167324060101104,0.0016676215517631267,0.0017519028439904102,8.428129222728346e-05
PHQ4_2_Prefer not to say,0.0012178169822731658,0.0011700016331490032,0.0012646957984739425,9.469416532493927e-05
PHQ4_4_Prefer not to say,0.0011344379807668207,0.0010792869435164527,0.0011634731055737927,8.418616205733997e-05
PHQ4_3_Prefer not to say,0.0009911311167464195,0.0009638443729512331,0.0010250093526984593,6.116497974722622e-05
PHQ4_1_Prefer not to say,0.0009629427441860423,0.0009352537457774106,0.0009922032435770623,5.694949779965169e-05
