feature,median_importance,q1,q3,iqr
Non-household Contacts,0.11365564250374219,0.11248832440941237,0.11438878349090771,0.0019004590814953454
Survey Week,0.10844959172382279,0.10751887296233122,0.10908492212498501,0.0015660491626537931
Age,0.08145019567090653,0.08120285763694117,0.08169267425063897,0.0004898166136978049
Perceived Personal Risk,0.07838808299281193,0.07778524425878189,0.07914712576255353,0.0013618815037716447
Life Satisfaction,0.05185776466562267,0.05157867955101483,0.0519872726506138,0.0004085930995989667
Perceived Infection Likelihood,0.04927345941786131,0.0490019086459664,0.04946315268160174,0.0004612440356353345
Household Size,0.042982180999634315,0.04280585137477971,0.04316546903357787,0.0003596176587981545
Very Willing to Self-isolate,0.029829887984901365,0.029171693221145645,0.030595971917556256,0.0014242786964106108
Willing to Self-isolate if Symptomatic,0.02129031369129351,0.020888535033306635,0.021664981064898555,0.0007764460315919201
Male,0.01777844685409173,0.01766004596643048,0.017913975338305722,0.00025392937187524237
employment_status_Part time employment,0.014971051348978033,0.0148668457378992,0.015082921383645455,0.00021607564574625468
WCRex1_Somewhat well,0.014810359627694463,0.014712608155056789,0.014903694893829644,0.00019108673877285542
d1_comorbidities_Yes,0.014674263356893417,0.01458417327591292,0.014739653676349412,0.0001554804004364925
WCRex2_A lot of confidence,0.012528140003591922,0.012421946589450741,0.012674027074802825,0.0002520804853520832
WCRex2_Not very much confidence,0.01221999655305436,0.012156282882578907,0.012316629860031658,0.00016034697745275113
WCRex1_Somewhat badly,0.011772038655791642,0.01167022094416561,0.011858157959329015,0.00018793701516340439
i9_health_Not sure,0.011548787859022804,0.011273027567712608,0.011897565354127618,0.0006245377864150109
PHQ4_3_Several days,0.011274151287407452,0.011177908613078144,0.011339452978691546,0.00016154436561340198
PHQ4_1_Several days,0.011194943255357196,0.011098487887022945,0.011283905366790095,0.00018541747976714984
WCRex1_Very well,0.010928042468149868,0.010822896226523812,0.011000604487332089,0.0001777082608082764
employment_status_Retired,0.010890461051664208,0.01081261470817672,0.010952572848540884,0.0001399581403641638
PHQ4_2_Several days,0.010416301898339007,0.010335223488602902,0.01049430405059783,0.00015908056199492697
PHQ4_4_Several days,0.010293294147441092,0.010207369325081017,0.010398738767551558,0.00019136944247054137
PHQ4_1_Not at all,0.010211592488346365,0.010156263845138057,0.010280649087713072,0.00012438524257501506
PHQ4_4_Not at all,0.0099165149795943,0.009842608579596563,0.010020251021999875,0.00017764244240331233
WCRex1_Very badly,0.009767463141095063,0.009695407544749682,0.009830248076362597,0.00013484053161291407
i11_health_Somewhat willing,0.009711817043924036,0.009591272330673098,0.009856897456532487,0.0002656251258593891
PHQ4_3_Not at all,0.009653792016561302,0.009586781878835675,0.009722754707097917,0.0001359728282622416
PHQ4_2_Not at all,0.009627237229899771,0.009559713458785224,0.00973803320895181,0.00017831975016658654
employment_status_Not working,0.009140610063912025,0.00906896824485107,0.009237860587323454,0.00016889234247238413
employment_status_Unemployed,0.008664073954037045,0.008575690635624418,0.008768155035051954,0.00019246439942753601
WCRex2_No confidence at all,0.0068792700236942235,0.006798010281159107,0.006951252334696902,0.00015324205353779534
PHQ4_3_Nearly every day,0.006143273145928549,0.006075199978205493,0.006209218109183311,0.00013401813097781764
PHQ4_1_Nearly every day,0.006056405993418734,0.0060009921689085765,0.006119485288635159,0.00011849311972658271
PHQ4_4_Nearly every day,0.005678763319668539,0.005624696450677865,0.0057531579231933725,0.00012846147251550748
PHQ4_2_Nearly every day,0.005388199498007043,0.005337975104589101,0.005473963212826716,0.00013598810823761513
i11_health_Very unwilling,0.004567173992241451,0.004347978229498596,0.004758637674289987,0.00041065944479139107
WCRex2_Don't know,0.004326952468773,0.004222335046247263,0.004405385913086479,0.00018305086683921643
PHQ4_3_NA,0.003969519359248625,0.00391621876077165,0.004015785171483566,9.956641071191645e-05
PHQ4_2_NA,0.003944518092263252,0.0038922230987718746,0.004024504229883008,0.00013228113111113382
PHQ4_4_NA,0.0038729243416085308,0.003818087096266209,0.0039312224348237775,0.00011313533855756858
PHQ4_1_NA,0.0038609841126991578,0.0038050376008175505,0.003899831928594881,9.479432777733049e-05
i11_health_Somewhat unwilling,0.0031450893027102334,0.0030502522075382147,0.0032551094211930986,0.00020485721365488384
d1_comorbidities_Prefer not to say,0.0025209492034307885,0.0024561560457973365,0.0026130634221206393,0.00015690737632330278
i11_health_Not sure,0.001968435982018475,0.0019239911840390487,0.002036085158815314,0.00011209397477626552
PHQ4_4_Prefer not to say,0.0014522314797547936,0.0013849907297977097,0.0014992371437712376,0.0001142464139735279
PHQ4_2_Prefer not to say,0.0013226654584634345,0.0012896609439612,0.0013832327925540583,9.357184859285828e-05
PHQ4_3_Prefer not to say,0.0013021100668149333,0.0012488424288726822,0.001349015659874605,0.00010017323100192273
PHQ4_1_Prefer not to say,0.0012483458900629024,0.0012189011752866824,0.001297108886198921,7.820771091223864e-05
