feature,median_importance,q1,q3,iqr
Non-mask Protective Behaviour Score,0.11074045591205287,0.10965854851498334,0.11219152122348547,0.0025329727085021264
Age,0.09247539239786837,0.09162323946886444,0.09319822627543761,0.0015749868065731698
Survey Week,0.08870165989183207,0.08808856991638728,0.08923725304313568,0.001148683126748401
Non-household Contacts,0.0718806819963902,0.07122033714854399,0.07241502455513779,0.0011946874065938001
Perceived Personal Risk,0.05852618830168099,0.05784643909699516,0.05924838212331843,0.0014019430263232657
Life Satisfaction,0.05272776237907393,0.052321192228260385,0.053056729272378055,0.0007355370441176692
Perceived Infection Likelihood,0.05208224649696552,0.05153951889891706,0.052682393850704036,0.0011428749517869777
Household Size,0.040442411636284384,0.04020725000568682,0.040818047235977886,0.0006107972302910672
Male,0.01711825956412516,0.017005021347609582,0.01728037587651344,0.0002753545289038567
High NHS Confidence,0.014811069272741235,0.014663260505132487,0.014967238277697262,0.0003039777725647747
d1_comorbidities_Yes,0.014656382807889817,0.014506604858409523,0.014789880219194562,0.0002832753607850385
WCRex1_Somewhat well,0.013539702313857527,0.01342712579425892,0.013622908632398994,0.00019578283814007322
employment_status_Part time employment,0.013465837867996683,0.013336610791542117,0.013625883790227217,0.00028927299868510004
i9_health_Yes,0.012968570318511334,0.012858124091891236,0.013095187855786061,0.00023706376389482503
i11_health_Very willing,0.012944095825412758,0.012790903994859716,0.013067326626439172,0.00027642263157945553
WCRex1_Very well,0.012455393089421035,0.012377344867777779,0.012591205846473464,0.000213860978695685
PHQ4_3_Several days,0.011348694575619104,0.011247380908795008,0.011460220184069447,0.00021283927527443978
PHQ4_1_Several days,0.011242933942193556,0.011119219872715648,0.011333606006969624,0.00021438613425397643
employment_status_Retired,0.010934106588374463,0.01075324447740331,0.011118403602751499,0.00036515912534818874
PHQ4_2_Several days,0.010533351362358539,0.01042876431372581,0.010640822977525785,0.00021205866379997614
PHQ4_1_Not at all,0.010445405146345944,0.010339933180573118,0.010537331747279187,0.0001973985667060689
i11_health_Somewhat willing,0.010261753499857671,0.010133374973291337,0.010352376628383423,0.0002190016550920864
PHQ4_4_Several days,0.010257705022811526,0.010144179626373264,0.010360084348948521,0.0002159047225752577
PHQ4_2_Not at all,0.009795716771140515,0.009667051710833369,0.009892234485409457,0.00022518277457608815
PHQ4_4_Not at all,0.009789728562249203,0.009690580054573704,0.009890665242452277,0.00020008518787857296
employment_status_Not working,0.009777134483122438,0.00966032585270727,0.009954014937847689,0.0002936890851404188
employment_status_Unemployed,0.00960572021190609,0.00946746260686804,0.009702362338272723,0.00023489973140468356
PHQ4_3_Not at all,0.009551800543454671,0.009450742078191483,0.009634880306185346,0.00018413822799386373
WCRex2_Not very much confidence,0.008930852892002811,0.00881011338030182,0.008996106472317968,0.0001859930920161488
WCRex1_Somewhat badly,0.00887090854920794,0.00873666347578566,0.008985100231035686,0.0002484367552500269
i9_health_Not sure,0.007366924924118881,0.00725120152964152,0.0074972502785554465,0.0002460487489139261
PHQ4_4_Nearly every day,0.007024149997790221,0.006920179721231726,0.007135181855684273,0.00021500213445254778
PHQ4_1_Nearly every day,0.006881266934381035,0.006771115130244938,0.006964681824481097,0.0001935666942361582
PHQ4_3_Nearly every day,0.006771787507611452,0.006682277093067389,0.006870054910587784,0.0001877778175203952
WCRex1_Very badly,0.0063729093016825986,0.006279531285019424,0.006457440291643397,0.0001779090066239726
PHQ4_2_Nearly every day,0.00578151217327791,0.005699940660331315,0.005870806689240304,0.00017086602890898847
WCRex2_No confidence at all,0.0036898023708565727,0.0036276645809351802,0.0037595402108098713,0.00013187562987469108
WCRex2_Don't know,0.0031408228283360423,0.0030759107006811566,0.0031976355987316583,0.00012172489805050172
PHQ4_3_NA,0.0028370162942016742,0.0027377456107323403,0.0029258765869138955,0.0001881309761815552
PHQ4_1_NA,0.002714196205549334,0.0026301879137233565,0.0028121585589433173,0.00018197064521996084
PHQ4_2_NA,0.002713894439750243,0.0026244761566325075,0.0027874964651746735,0.00016302030854216604
PHQ4_4_NA,0.0026786669310231697,0.002596803444704349,0.0027671221218820517,0.00017031867717770283
i11_health_Somewhat unwilling,0.00222668965558868,0.002150679250969569,0.002297509993876081,0.00014683074290651205
d1_comorbidities_Prefer not to say,0.0021247092946453583,0.0020662449609675096,0.0022360724657804654,0.00016982750481295576
i11_health_Not sure,0.002080692019762048,0.002016100736741692,0.002148436415536869,0.0001323356787951771
i11_health_Very unwilling,0.0019477102915066245,0.001894520109751475,0.0019918007363610847,9.728062660960962e-05
PHQ4_2_Prefer not to say,0.0013942001217652129,0.001350462632696146,0.0014630384457749806,0.00011257581307883447
PHQ4_4_Prefer not to say,0.0012696435291566213,0.0012258547883352024,0.0013433090126707087,0.00011745422433550624
PHQ4_3_Prefer not to say,0.0011758470146054417,0.0011208918342543216,0.0012200223559131551,9.913052165883354e-05
PHQ4_1_Prefer not to say,0.0009430689940043189,0.0009083809168060445,0.0009864184274455568,7.803751063951232e-05
