feature,median_importance,q1,q3,iqr
Non-household Contacts,0.12621050304262516,0.1256182221264404,0.12714031305741053,0.001522090930970138
Age,0.08862392161630303,0.08831825287413973,0.0888616353667734,0.000543382492633665
Perceived Personal Risk,0.08552650040663985,0.08499296404539845,0.08619354162148345,0.0012005775760849935
Survey Week,0.0837217377650899,0.0833298072725638,0.08411911408871585,0.0007893068161520522
Life Satisfaction,0.05837557325358571,0.05815490672895497,0.05860893162170655,0.0004540248927515783
Perceived Infection Likelihood,0.055235471145449536,0.05496961241904169,0.055415370876789966,0.00044575845774827427
Household Size,0.04911431675685389,0.04889976809825506,0.049314372250464325,0.000414604152209265
Male,0.021292375017385345,0.021106387484794067,0.021433084530764455,0.000326697045970388
Comorbidities,0.017865984641815498,0.01768484821425015,0.01802508679444152,0.0003402385801913703
High NHS Confidence,0.017136778992271798,0.0170257978513737,0.017278101539666024,0.0002523036882923248
WCRex1_Somewhat well,0.016760487471413017,0.01663086098765027,0.016877033827802403,0.00024617284015213126
i9_health_Yes,0.016383871442212247,0.016221743664059245,0.016528001973470825,0.0003062583094115799
employment_status_Part time employment,0.016218249042479028,0.01611807733623981,0.016343977212539388,0.00022589987629957967
i11_health_Very willing,0.015881885535776023,0.0157684274609345,0.016015517849457924,0.00024709038852342366
WCRex1_Very well,0.014453586968205687,0.01434142085058424,0.01457903227157286,0.00023761142098861938
PHQ4_3_Several days,0.013326223754514647,0.013248695171326147,0.013446717152516682,0.00019802198119053468
PHQ4_1_Several days,0.013176416975493429,0.013072353826951762,0.013313679663547589,0.00024132583659582617
PHQ4_2_Several days,0.012494777795338249,0.01238983078427871,0.012601063763163865,0.00021123297888515392
employment_status_Retired,0.01240692788855342,0.0123114764467927,0.012479861609562676,0.00016838516276997638
PHQ4_4_Several days,0.012077045484401564,0.011976294802213638,0.012208129031654184,0.00023183422944054663
PHQ4_1_Not at all,0.011854186248636756,0.01174974406902602,0.011979065796111726,0.00022932172708570522
PHQ4_3_Not at all,0.01168199186110572,0.011564248954385603,0.011761424845209981,0.00019717589082437863
i9_health_Not sure,0.011435857843944582,0.011224530428404714,0.011590725620926376,0.0003661951925216615
PHQ4_2_Not at all,0.011201417631051185,0.011108209600169172,0.011311981317481642,0.00020377171731247
PHQ4_4_Not at all,0.011189613866151936,0.011069632808681375,0.011309921229385414,0.00024028842070403927
WCRex2_Not very much confidence,0.010850134730633901,0.010735757071420046,0.010939690055086038,0.00020393298366599283
employment_status_Not working,0.010744057865708508,0.010648155431515285,0.010818251351130508,0.00017009591961522283
employment_status_Unemployed,0.010709608494777456,0.010611154454483619,0.010823014049559744,0.00021185959507612553
i11_health_Somewhat willing,0.010532341100172345,0.010356521080617832,0.01064869220025368,0.00029217111963584716
WCRex1_Somewhat badly,0.010510056911665523,0.010432514456096779,0.01061982155528303,0.00018730709918625063
PHQ4_1_Nearly every day,0.007948824328930466,0.007874057195901835,0.008040653217939883,0.00016659602203804823
WCRex1_Very badly,0.007172586221224156,0.007088110016753323,0.007252726956822197,0.00016461694006887455
PHQ4_4_Nearly every day,0.007161021127887386,0.007076508759492303,0.007259446642796862,0.00018293788330455904
PHQ4_3_Nearly every day,0.007010639533633481,0.006929795490064039,0.007062939230318953,0.0001331437402549143
PHQ4_2_Nearly every day,0.006031752621992039,0.005974146800285911,0.006109719452106243,0.0001355726518203317
WCRex2_Don't know,0.004520761668170498,0.0044434749037527265,0.004585918244153204,0.00014244334040047768
WCRex2_No confidence at all,0.0045018681013306765,0.004433874643889139,0.004559518173608773,0.00012564352971963354
i11_health_Somewhat unwilling,0.0034952858127861473,0.0034165876494959345,0.003592782818005011,0.00017619516850907657
i11_health_Very unwilling,0.0034677476815614706,0.0033684971691512557,0.0035664231641731317,0.00019792599502187593
d1_comorbidities_Prefer not to say,0.0028463296307295874,0.0028131523331908124,0.0029039266752427066,9.077434205189425e-05
PHQ4_3_NA,0.002797063213386363,0.002741196612045712,0.0028507663886318648,0.00010956977658615292
PHQ4_1_NA,0.002693457183154415,0.002654776058520645,0.0027432220998571464,8.844604133650133e-05
PHQ4_2_NA,0.002686616589672979,0.0026319109657622305,0.002735908438705482,0.0001039974729432516
PHQ4_4_NA,0.00262165634650636,0.002575938314993938,0.0026741396982810266,9.820138328708872e-05
i11_health_Not sure,0.0025984389454547395,0.0025381586378984814,0.002666999619231032,0.00012884098133255067
PHQ4_2_Prefer not to say,0.0018041221828984412,0.0017748768384799657,0.0018455838651635225,7.070702668355677e-05
PHQ4_4_Prefer not to say,0.001707045590593885,0.0016553207516152597,0.00175463778419315,9.931703257789028e-05
PHQ4_3_Prefer not to say,0.0016409032095503111,0.0016006007866087692,0.0016757049284909166,7.51041418821474e-05
PHQ4_1_Prefer not to say,0.0013654725086259655,0.001324911380946326,0.001393105995300277,6.819461435395111e-05
