feature,median_importance,q1,q3,iqr
Very Willing to Self-isolate,0.046400316,0.04402546,0.04895959,0.004934132
Very Unwilling to Self-isolate,0.025159376,0.024103299,0.026729532,0.0026262328
Perceived Personal Risk,0.022311555,0.021866735,0.023071446,0.0012047105
Willing to Self-isolate if Symptomatic,0.021906529,0.02109674,0.022959827,0.0018630866
Survey Week,0.020731341,0.020354155,0.021292716,0.0009385608
Non-household Contacts,0.020635948,0.020166924,0.021072887,0.00090596266
Uncertain About Self-isolation,0.020457083,0.01968078,0.021349652,0.0016688723
Worry Control Not Disclosed,0.019562226,0.017912965,0.022211421,0.004298456
Comorbidity Not Disclosed,0.017694086,0.016361559,0.018884711,0.0025231522
Anxiety Not Disclosed,0.017540514,0.014706157,0.021097213,0.006391056
WCRex2_Don't know,0.01594757,0.015238124,0.017019931,0.0017818073
i11_health_Somewhat unwilling,0.01585085,0.014536496,0.017174017,0.0026375204
PHQ4_2_Nearly every day,0.015338817,0.014718785,0.01616066,0.0014418745
PHQ4_2_Prefer not to say,0.015295967,0.013653635,0.016834999,0.0031813635
PHQ4_1_Nearly every day,0.015286515,0.014697948,0.01590915,0.0012112027
PHQ4_1_Prefer not to say,0.015081968,0.013648814,0.017342709,0.0036938954
i11_health_Somewhat willing,0.0148602985,0.014321946,0.015475789,0.0011538435
WCRex1_Very well,0.014788561,0.014237065,0.015406565,0.0011694999
WCRex2_No confidence at all,0.014644751,0.014198139,0.015392561,0.0011944221
employment_status_Unemployed,0.014551686,0.014144708,0.015028071,0.00088336226
PHQ4_3_Nearly every day,0.014051653,0.013656363,0.014623892,0.0009675287
i11_health_Not sure,0.014033996,0.013042895,0.015144993,0.0021020975
employment_status_Not working,0.013931412,0.0135300625,0.014466041,0.00093597826
employment_status_Retired,0.013657924,0.0130213145,0.01400079,0.0009794757
employment_status_Part time employment,0.01356139,0.013250528,0.013818634,0.00056810584
age,0.013551177,0.013274661,0.013896254,0.0006215926
PHQ4_4_Nearly every day,0.013299026,0.012713296,0.013817862,0.0011045653
household_size,0.013199236,0.0129449805,0.013425727,0.00048074685
PHQ4_4_NA,0.013030769,0.011987388,0.01450301,0.0025156215
WCRex2_A lot of confidence,0.012974652,0.012603577,0.013375399,0.0007718215
r1_2,0.012874674,0.01258881,0.013130293,0.00054148305
PHQ4_3_NA,0.012682155,0.011423999,0.013417288,0.0019932883
WCRex1_Very badly,0.012649326,0.012259776,0.013149985,0.00089020934
cantril_ladder,0.0126290545,0.012383804,0.012857984,0.0004741801
PHQ4_2_NA,0.012523478,0.011535253,0.013579412,0.002044159
WCRex1_Somewhat badly,0.012522452,0.012082069,0.012837211,0.0007551415
PHQ4_4_Not at all,0.012439379,0.01199816,0.012962529,0.0009643696
PHQ4_2_Not at all,0.012393972,0.012075518,0.012864258,0.0007887399
PHQ4_3_Not at all,0.012169306,0.0117696365,0.012642129,0.0008724928
gender_Male,0.012156075,0.011905059,0.012501618,0.0005965587
PHQ4_1_Not at all,0.012083864,0.011645858,0.012429057,0.0007831985
WCRex2_Not very much confidence,0.012062244,0.01174837,0.012388289,0.0006399192
PHQ4_3_Several days,0.011964902,0.011648813,0.0122694615,0.00062064826
PHQ4_4_Several days,0.011884622,0.011591331,0.012279192,0.0006878609
PHQ4_1_Several days,0.011865115,0.011485102,0.012095509,0.00061040744
PHQ4_2_Several days,0.011691871,0.011331769,0.012125638,0.0007938696
PHQ4_1_NA,0.011402212,0.010987705,0.011870592,0.0008828873
d1_comorbidities_Yes,0.011236293,0.01089365,0.011573065,0.0006794147
WCRex1_Somewhat well,0.011089506,0.010831005,0.011401336,0.00057033077
