feature,median_importance,q1,q3,iqr
Non-mask Protective Behaviour Score,0.07256308,0.06776709,0.076746926,0.008979835
Not Working,0.02040958,0.01953204,0.021479556,0.0019475166
Uncertain About Self-isolation,0.019339457,0.018714665,0.020573886,0.0018592216
Survey Week,0.018261295,0.01757283,0.019120404,0.001547575
Uncertain NHS Confidence,0.016704408,0.015719453,0.017946506,0.002227053
Somewhat Unwilling to Self-isolate,0.016210008,0.014323542,0.018068608,0.003745066
Age,0.0160031,0.015189962,0.01685376,0.0016637985
Comorbidity Not Disclosed,0.015919227,0.014034849,0.017756525,0.0037216768
Perceived Personal Risk,0.015832812,0.014964206,0.01666042,0.0016962141
Retired,0.015597723,0.014550086,0.017517393,0.0029673073
WCRex1_Very badly,0.015105524,0.014410012,0.016058752,0.0016487399
PHQ4_2_Prefer not to say,0.014888912,0.012681552,0.016523378,0.0038418258
i11_health_Not sure,0.014876139,0.013193293,0.01670334,0.0035100468
PHQ4_4_Nearly every day,0.014713381,0.0137711875,0.015949743,0.0021785554
employment_status_Unemployed,0.014650198,0.01414504,0.015182845,0.0010378053
PHQ4_4_Prefer not to say,0.0143055655,0.012242442,0.016226506,0.003984064
r1_2,0.014267562,0.013490001,0.014906197,0.0014161961
WCRex2_No confidence at all,0.014228501,0.0131115485,0.015185269,0.00207372
PHQ4_2_Nearly every day,0.013868898,0.0129047,0.014519537,0.001614837
cantril_ladder,0.013806732,0.013278227,0.014378342,0.0011001145
PHQ4_3_NA,0.013793,0.012102358,0.015725529,0.0036231708
WCRex1_Somewhat badly,0.013791899,0.013053978,0.014433646,0.0013796678
i2_health,0.013761643,0.013178648,0.014220951,0.0010423027
i11_health_Very willing,0.013647219,0.012888623,0.014373169,0.0014845459
i11_health_Very unwilling,0.013578199,0.011702125,0.014956849,0.0032547237
PHQ4_3_Nearly every day,0.013508575,0.01304841,0.014463613,0.0014152024
WCRex2_Not very much confidence,0.013411604,0.012850797,0.014105051,0.001254254
employment_status_Part time employment,0.013236498,0.012738919,0.013603031,0.0008641118
WCRex2_A lot of confidence,0.013032926,0.012485434,0.01370829,0.0012228554
i9_health_Yes,0.0128569305,0.012321462,0.013478676,0.0011572139
PHQ4_1_Nearly every day,0.012847652,0.011932975,0.0136779295,0.0017449548
d1_comorbidities_Yes,0.012831745,0.012112418,0.013326908,0.0012144903
PHQ4_2_NA,0.012827809,0.01095519,0.014210733,0.0032555424
PHQ4_3_Prefer not to say,0.012781054,0.010514929,0.015389302,0.004874373
PHQ4_4_NA,0.012689244,0.00931145,0.015938269,0.0066268193
WCRex1_Very well,0.012535432,0.011942286,0.01311936,0.0011770744
household_size,0.012418267,0.01180409,0.012932261,0.0011281716
PHQ4_1_NA,0.012389222,0.011560627,0.013611714,0.002051087
PHQ4_1_Prefer not to say,0.012284234,0.010776538,0.013763647,0.0029871082
PHQ4_4_Not at all,0.012039419,0.011468821,0.0125881685,0.0011193473
i11_health_Somewhat willing,0.0120210005,0.011560314,0.012626299,0.0010659844
PHQ4_2_Not at all,0.011953162,0.011199025,0.012628452,0.0014294265
PHQ4_1_Not at all,0.01185555,0.011220456,0.012400674,0.0011802176
PHQ4_1_Several days,0.011815684,0.011124037,0.012333717,0.00120968
PHQ4_3_Several days,0.011592792,0.011077603,0.012167187,0.0010895841
PHQ4_2_Several days,0.011275374,0.0107957125,0.011932889,0.0011371765
PHQ4_4_Several days,0.011120497,0.010535715,0.011608735,0.0010730196
gender_Male,0.011068887,0.010489948,0.011520133,0.0010301853
PHQ4_3_Not at all,0.010969603,0.010543814,0.0115076015,0.00096378755
WCRex1_Somewhat well,0.009915053,0.0094529055,0.010327591,0.0008746851
