feature,median_importance,q1,q3,iqr
Uncertain About Self-isolation,0.031298064,0.029381976,0.032732166,0.0033501908
Non-household Contacts,0.030210726,0.029550657,0.03105063,0.0014999732
Perceived Personal Risk,0.029966332,0.02918528,0.030921483,0.0017362032
Very Unwilling to Self-isolate,0.027946781,0.026562644,0.029515145,0.0029525012
Uncertain Willingness to Self-isolate,0.026656002,0.025055975,0.029045215,0.00398924
Very Willing to Self-isolate,0.024060171,0.02317521,0.024924867,0.0017496571
Somewhat Unwilling to Self-isolate,0.022738673,0.021624275,0.024143962,0.0025196876
Willing to Self-isolate if Symptomatic,0.01933838,0.018845005,0.020046571,0.0012015663
Low Interest Nearly Every Day,0.018889785,0.018297387,0.01939961,0.0011022221
Uncertain NHS Confidence,0.018292008,0.017579159,0.018978864,0.0013997052
week_number,0.01757725,0.017324481,0.017894167,0.0005696863
PHQ4_3_NA,0.017121654,0.016034655,0.018191844,0.002157189
employment_status_Not working,0.016952528,0.016554661,0.017435951,0.00088129006
employment_status_Unemployed,0.016916316,0.016366823,0.01734421,0.0009773877
PHQ4_4_Nearly every day,0.016740479,0.01632741,0.017302787,0.00097537786
d1_comorbidities_Prefer not to say,0.016361209,0.015474492,0.017250651,0.0017761597
age,0.016129863,0.015868241,0.016335247,0.00046700612
WCRex2_Not very much confidence,0.015774919,0.01541434,0.016273009,0.00085866824
PHQ4_4_Prefer not to say,0.015682414,0.014750687,0.016585594,0.0018349066
PHQ4_3_Nearly every day,0.015670955,0.015087544,0.016181724,0.0010941802
r1_2,0.015497103,0.015058599,0.015740704,0.0006821044
WCRex1_Somewhat badly,0.015237016,0.014893957,0.01566746,0.00077350345
PHQ4_4_NA,0.015170989,0.013224243,0.01692015,0.0036959061
WCRex1_Very badly,0.015147956,0.014676018,0.015543924,0.000867906
PHQ4_2_NA,0.0150953885,0.01429895,0.015889572,0.0015906217
PHQ4_2_Nearly every day,0.015086376,0.014575873,0.015754342,0.0011784695
PHQ4_3_Not at all,0.014809348,0.01435372,0.01511738,0.0007636603
cantril_ladder,0.0147586875,0.014571394,0.015142452,0.00057105813
employment_status_Part time employment,0.014725975,0.014326766,0.015049018,0.00072225183
WCRex1_Very well,0.014600271,0.01429157,0.014948816,0.00065724645
gender_Male,0.014598673,0.014390326,0.014923765,0.0005334392
PHQ4_4_Not at all,0.014574567,0.014270868,0.0150019005,0.00073103234
PHQ4_2_Prefer not to say,0.014518175,0.013457462,0.015644269,0.0021868069
i11_health_Somewhat willing,0.014515471,0.014026724,0.014890503,0.00086377934
household_size,0.014491994,0.014232261,0.014748731,0.0005164696
WCRex2_No confidence at all,0.0144684855,0.013800623,0.014934465,0.0011338424
WCRex2_A lot of confidence,0.014334552,0.01398818,0.014735162,0.0007469822
employment_status_Retired,0.01419068,0.013823318,0.014631384,0.00080806576
d1_comorbidities_Yes,0.014064164,0.013764432,0.014345641,0.00058120955
PHQ4_2_Not at all,0.014052243,0.013700167,0.014376976,0.0006768089
PHQ4_4_Several days,0.013922796,0.013516526,0.014286117,0.00076959096
PHQ4_3_Prefer not to say,0.013754543,0.012678281,0.014683974,0.0020056926
PHQ4_3_Several days,0.013660822,0.013243437,0.013974871,0.00073143374
PHQ4_1_NA,0.013621258,0.013092302,0.014032685,0.0009403834
PHQ4_1_Not at all,0.013607713,0.013354557,0.013954433,0.00059987605
PHQ4_1_Several days,0.013470504,0.013169313,0.013724751,0.000555438
PHQ4_2_Several days,0.01319024,0.012923167,0.0135794785,0.0006563114
WCRex1_Somewhat well,0.012596093,0.012389441,0.012871865,0.00048242416
PHQ4_1_Prefer not to say,0.009853991,0.009241321,0.010695883,0.001454562
